part_name,brand,assembly_unit_number
Картер верхний,В-59УМС,"Сб. 3301-15-30"
Картер нижний,В-59УМС,"Сб. 3301-15-30"
Вал коленчатый,В-59УМС,"Сб. 3305-01-18"
Вал коленчатый,В-84,"Сб. 3305-01-17"
Рубашка цилиндров правая,В-59УМС,"Сб. 303-03-11"
Рубашка цилиндров левая,В-59УМС,"Сб. 303-02-16"
Головки блока правой,В-59УМС,"Сб. 306-01-26"
Головки блока правой,В-84,"Сб. 306-01-20"
Головки блока левой,В-59УМС,"Сб. 306-02-26"
Головки блока левой,В-84,"Сб. 306-02-20"
Насос топливный,В-59УМС,"НК-10М сб. 327-00-62"
Насос топливный,В-84,"НК-12М сб. 327-00-47"
Насос топливоподкачивающий,В-59УМС,"Сб. 532-00-02"
Насос водяной,В-59УМС,"Сб. 411-00-35А"
Насос водяной,В-84,"Сб. 411-00-48"
Насос водяной,В-84 АМС,"Сб. 411-00-42"
Насос водяной,В-84МБ-1С (В-84Б),"Сб. 411-00-48"
Насос масляный,В-59УМС,"Сб. 3312-00-16"
Насос масляный,В-84,"Сб. 3312-00-15"
Насос масляный,В-84 АМС,"Сб. 3312-00-17"
Насос масляный,В-84МБ-1С (В-84Б),"Сб. 3312-00-16"
Насос масляный,В-84 ДТ,"Сб. 3312-00-15"
ТФТО,В-59УМС,"Сб. 3329-00-13"
Маслоочиститель центробежный,В-59УМС,"Сб. 447-00"
Маслоочиститель центробежный,В-84,"Сб. 447-00-1"
Маслоочиститель центробежный,В-84 АМС,"Сб. 447-00"
Маслоочиститель центробежный,В-84 ДТ,"Сб. 447-00"
Фильтр масляный,В-59УМС,"Сб. 413-00-14"
Фильтр масляный,В-84,"Сб. 413-00-15"
Фильтр масляный,В-84 АМС,"Сб. 413-00-7"
Фильтр масляный,В-84МБ-1С (В-84Б),"Сб. 413-00-15"
Фильтр масляный,В-84 ДТ,"Сб. 413-00-10"
Привод,В-59УМС,"303.01.сб.2"
Механизм отбора мощности,В-84 ДТ,"306.01СБ"
Механизм отбора мощности,В-46-2С1 (В-46-2С1М),"306.01СБ"
Нагнетатель,В-84,"Сб.3338-401-10"
Нагнетатель,В-84 АМС,"Сб. 3338-401-6"
Генератор с муфтой привода,В-59УМС,"3309-25-2"
Генератор с муфтой привода,В-46-5С,"3309-25-2"
Воздухораспределитель,В-59УМС,"Сб. 310-30А"
Трубопровод выпускной левый,В-59УМС,"118.01сб.2-1"
Трубопровод выпускной левый,В-84,"Сб.418-50-29/31"
Трубопровод выпускной правый,В-59УМС,"118.01сб.3-1"
Трубопровод выпускной правый,В-84,"Сб. 418-51-29/31"
Трубопровод впускной левый,В-59УМС,"Сб.419-06-10"
Трубопровод впускной левый,В-84,"Сб.419-06-7/сб.419-06-12"
Трубопровод впускной правый,В-59УМС,"Сб.419-05-10"
Трубопровод впускной правый,В-84,"Сб.419-05-7/сб. 419-05-12"
Трубопровод масляный (труба подвода масла к распредвалу правая),В-59УМС,"Сб. 320-32А"
Трубопровод масляный (труба подвода масла к распредвалу правая),В-84,"Сб. 320-32"
Трубопровод масляный (труба подвода масла к распредвалу правая),В-84 ДТ,"Сб. 320-32А"
Трубопровод масляный (труба подвода масла к распредвалу левая),В-84,"Сб. 320-33А"
Трубопровод масляный (труба подвода масла к распредвалу левая),В-84 ДТ,"Сб. 320-33"
